16.18	1	2008
13.13	2	2011
8.93	7	2011
20.96	10	2006
12.08	10	2010
17.60	12	2005
16.62	12	2011
16.01	12	2012
10.32	15	2010
17.07	16	2010
11.16	17	2010
14.58	19	2012
15.39	22	2011
9.47	24	2011
17.51	25	2011
13.12	26	2007
14.74	27	2007
20.00	28	2010
8.30	28	2012
16.20	29	2011
14.11	37	2010
14.45	37	2012
14.97	39	2010
18.03	42	2010
18.33	43	2012
19.71	48	2010
19.32	52	2011
11.22	53	2010
10.59	55	2009
13.25	55	2010
7.36	55	2011
8.62	57	2012
14.60	58	2006
9.63	58	2007
10.71	65	2006
17.04	67	2007
11.72	70	2008
8.07	70	2009
18.54	72	2012
18.32	74	2007
11.35	74	2009
15.40	79	2012
19.49	82	2009
13.82	86	2010
9.03	87	2008
10.04	87	2010
16.68	90	2012
9.86	92	2011
19.74	93	2010
16.99	94	2009
19.54	94	2010
12.26	95	2009
8.97	99	2009
13.15	100	2009
13.23	101	2009
7.97	109	2009
19.18	111	2005
10.30	111	2010
17.42	116	2012
16.14	119	2009
19.88	120	2011
13.02	124	2010
14.31	124	2012
16.86	127	2010
18.67	127	2011
13.88	134	2009
9.28	137	2011
19.53	139	2012
18.33	141	2006
15.79	141	2008
11.40	143	2011
20.80	144	2009
7.85	145	2008
20.45	147	2008
10.56	147	2010
18.42	147	2011
17.03	148	2007
10.85	150	2008
13.07	151	2007
18.73	151	2011
19.47	152	2010
10.18	153	2008
20.64	153	2010
18.61	156	2012
10.69	161	2012
16.19	162	2009
11.40	162	2011
17.54	168	2012
9.41	171	2011
7.87	172	2012
10.54	175	2012
18.94	176	2007
12.40	184	2009
12.51	186	2007
20.87	186	2011
20.59	188	2012
9.04	192	2008
13.52	192	2010
18.19	193	2011
8.24	196	2012
20.20	201	2009
9.04	202	2011
7.52	202	2012
8.90	203	2006
10.72	203	2012
19.02	204	2008
17.70	204	2011
15.58	209	2008
8.77	210	2008
13.02	212	2012
11.67	213	2012
14.36	214	2006
12.92	214	2009
20.79	215	2008
18.54	215	2011
20.95	215	2012
16.65	216	2012
19.94	218	2011
7.13	222	2007
8.59	224	2010
13.40	224	2011
12.40	224	2012
10.00	226	2009
12.78	227	2010
13.96	227	2012
17.00	228	2006
18.93	228	2011
15.95	228	2012
20.22	230	2009
9.61	236	2010
8.16	236	2011
19.02	237	2010
12.92	239	2011
14.26	241	2009
12.76	245	2005
12.29	245	2008
11.39	245	2012
19.89	248	2012
10.02	250	2011
20.26	255	2009
15.63	255	2011
18.57	256	2009
16.76	258	2010
12.44	258	2012
8.72	260	2012
20.45	261	2011
18.54	263	2012
8.86	264	2012
8.60	265	2007
7.41	266	2010
15.56	267	2007
14.24	267	2010
12.83	268	2010
14.26	268	2011
18.06	274	2009
15.47	274	2011
14.34	280	2009
17.21	281	2006
9.85	281	2009
11.49	285	2012
7.80	290	2007
12.29	292	2011
10.69	293	2012
